"INDEX 
","CURRENT 
","%CHNG 
","OPEN 
","HIGH 
","LOW 
","INDICATIVE CLOSE 
","PREV. CLOSE 
","PREV. DAY 
 19-Jun-2024","1W AGO 
 14-Jun-2024","1M AGO 
 21-May-2024","1Y AGO 
 21-Jun-2023","52W H 
","52W L 
","365 D % CHNG 
 21-Jun-2023","30 D % CHNG 
 21-May-2024"
"NIFTY ALPHA LOW-VOLATILITY 30","27,580.45","-0.21","27,707.95","27,770.25","27,559.40","-","27,639.55","27,675.20","28,031.50","26,996.20","18,823.00","-","-","46.84","2.38"
"NIFTY200 MOMENTUM 30","35,556.20","-0.34","35,768.65","35,884.80","35,539.35","-","35,677.45","35,721.85","36,250.15","34,319.15","21,214.65","-","-","68.17","3.96"
"NIFTY MIDCAP150 QUALITY 50","24,426.40","0.16","24,518.45","24,625.70","24,372.05","-","24,386.95","24,309.20","24,370.30","22,610.30","17,405.20","-","-","40.11","7.86"
"NIFTY200 ALPHA 30","27,315.35","-0.19","27,454.35","27,563.65","27,311.60","-","27,367.20","27,351.55","27,586.95","25,921.60","-","-","-","-","5.58"
"NIFTY MIDCAP150 MOMENTUM 50","63,450.20","-0.16","63,828.45","63,988.90","63,413.50","-","63,554.40","63,048.85","63,608.90","60,610.60","-","-","-","-","4.86"
"NIFTY COMMODITIES","9,114.70","-0.62","9,195.75","9,203.35","9,110.95","-","9,171.75","9,081.00","9,201.00","9,066.35","6,079.90","9,390.65","5,908.20","50.85","1.16"
"NIFTY INDIA CONSUMPTION","11,072.80","-0.15","11,118.45","11,134.95","11,061.00","-","11,089.30","11,117.65","11,221.90","10,614.65","8,190.25","11,290.10","8,087.60","35.40","4.47"
"NIFTY CPSE","6,723.40","-0.13","6,752.35","6,801.50","6,711.20","-","6,732.05","6,743.20","6,774.85","6,669.10","3,245.25","7,105.55","3,171.55","107.44","0.94"
"NIFTY ENERGY","40,478.60","-0.68","40,856.05","40,876.05","40,466.70","-","40,753.95","40,600.90","41,040.00","40,971.05","24,865.45","43,084.75","24,172.70","63.90","-0.53"
"NIFTY INFRASTRUCTURE","8,880.10","-0.55","8,952.10","8,966.65","8,878.05","-","8,929.15","8,892.95","9,028.70","8,683.65","5,709.50","9,166.25","5,583.90","56.39","2.83"
"NIFTY100 LIQUID 15","6,761.50","-0.44","6,805.90","6,814.85","6,760.95","-","6,791.10","6,782.95","6,814.50","6,532.95","4,956.60","6,867.15","4,875.30","37.01","3.95"
"NIFTY MIDCAP LIQUID 15","12,633.80","0.30","12,658.60","12,712.60","12,616.45","-","12,595.60","12,487.50","12,455.50","11,629.10","8,385.20","12,613.00","8,140.60","50.21","8.31"
"NIFTY MNC","30,116.35","-0.52","30,361.90","30,395.55","30,085.05","-","30,274.30","30,194.60","30,670.65","29,077.35","21,729.15","30,814.75","21,326.95","39.33","4.12"
"NIFTY PSE","10,628.20","-0.34","10,710.90","10,781.05","10,623.15","-","10,664.25","10,678.05","10,804.90","10,664.15","5,084.85","11,353.35","4,940.25","109.73","-"
"NIFTY SERVICES SECTOR","29,813.95","-0.08","30,015.15","30,034.25","29,767.35","-","29,838.10","29,748.20","29,272.05","28,234.60","24,384.25","29,949.20","23,940.65","22.37","5.68"
"NIFTY100 ESG SECTOR LEADERS","3,906.55","-0.43","3,939.75","3,940.90","3,903.00","-","3,923.30","3,915.20","3,908.15","3,746.40","3,031.70","-","-","29.41","4.72"
"NIFTY INDIA DIGITAL","8,150.15","0.69","8,165.00","8,253.00","8,138.20","-","8,094.55","8,100.90","8,050.30","7,784.50","5,890.30","8,132.65","4,755.25","37.42","3.98"
"NIFTY100 ESG","4,674.75","-0.22","4,705.55","4,709.10","4,670.30","-","4,685.05","4,679.25","4,674.15","4,451.15","3,570.00","-","-","31.23","5.25"
"NIFTY INDIA MANUFACTURING","14,551.75","-0.20","14,635.55","14,638.75","14,544.45","-","14,581.20","14,531.45","14,683.35","13,792.55","9,109.95","-","-","60.06","5.72"
"NIFTY INDIA CORPORATE GROUP INDEX - TATA GROUP 25% CAP","16,634.20","-0.46","16,769.65","16,815.70","16,632.35","-","16,710.25","16,684.65","16,837.55","16,147.65","-","16,957.15","9,887.45","-","3.48"
"NIFTY500 MULTICAP INDIA MANUFACTURING 50:30:20","14,870.25","-0.20","14,942.40","14,958.10","14,864.55","-","14,899.80","14,804.00","14,931.75","14,054.45","-","15,039.85","8,394.35","-","6.01"
"NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20","14,129.00","-0.26","14,212.90","14,245.20","14,119.65","-","14,165.85","14,097.45","14,231.85","13,438.90","-","14,343.65","8,010.10","-","5.41"
"NIFTY 8-13 YR G-SEC","2,633.26","0.05","2,632.31","2,633.30","2,631.60","-","2,631.81","2,632.17","2,628.07","2,609.71","2,450.99","-","-","7.36","0.83"
"NIFTY 10 YR BENCHMARK G-SEC","2,333.65","0.01","2,333.69","2,333.88","2,332.57","-","2,333.24","2,333.38","2,329.82","2,296.17","2,173.14","-","-","7.35","1.60"
"NIFTY 10 YR BENCHMARK G-SEC (CLEAN PRICE)","879.76","-","879.78","879.85","879.35","-","879.78","880.00","879.50","876.71","879.15","-","-","0.05","0.33"
"NIFTY 4-8 YR G-SEC INDEX","2,850.80","0.03","2,850.26","2,850.89","2,849.96","-","2,849.70","2,849.46","2,845.57","2,828.24","2,657.47","-","-","7.22","0.75"
"NIFTY 11-15 YR G-SEC INDEX","2,917.99","0.05","2,917.07","2,918.34","2,916.47","-","2,916.51","2,916.27","2,910.86","2,881.50","2,688.75","-","-","8.45","1.20"
"NIFTY 15 YR AND ABOVE G-SEC INDEX","3,246.94","0.20","3,240.88","3,246.94","3,240.88","-","3,240.25","3,239.01","3,221.68","3,176.82","2,928.98","-","-","10.61","1.98"
"NIFTY COMPOSITE G-SEC INDEX","2,731.42","0.08","2,729.71","2,731.42","2,729.53","-","2,729.19","2,729.03","2,722.69","2,699.88","2,526.43","-","-","8.01","1.07"
